name,address,city,province,holes,latitude,longitude,google_maps_link
Aberdeen Golf Club,Hope Street,Aberdeen,Eastern Cape,9,-32.477548,24.05347,https://www.google.com/maps/search/?api=1&query=-32.477548%2C24.05347
Adelaide Golf Course,Winterberg Lane,Adelaide,Eastern Cape,18,-32.690839,26.291658,https://www.google.com/maps/search/?api=1&query=-32.690839%2C26.291658
Alexandria Golf Club,Martha Oosthuizen Street,Alexandria,Eastern Cape,9,-33.651244,26.402112,https://www.google.com/maps/search/?api=1&query=-33.651244%2C26.402112
Bushman Sands Golf Course,Main Street,Alicedale,Eastern Cape,18,-33.315671,26.082156,https://www.google.com/maps/search/?api=1&query=-33.315671%2C26.082156
Aliwal North Golf Club,Benson Street,Aliwal North,Eastern Cape,18,-30.698311,26.716068,https://www.google.com/maps/search/?api=1&query=-30.698311%2C26.716068
Barkly East Golf Course,Elliot Road,Barkly East,Eastern Cape,9,-30.970308,27.605021,https://www.google.com/maps/search/?api=1&query=-30.970308%2C27.605021
Bedford Golf Course,Bourke Street,Bedford,Eastern Cape,9,-32.676558,26.096928,https://www.google.com/maps/search/?api=1&query=-32.676558%2C26.096928
Burgersdorp Golf Club ~ 18 Hole,Andries Venter Street,Burgersdorp,Eastern Cape,18,-30.990071,26.328585,https://www.google.com/maps/search/?api=1&query=-30.990071%2C26.328585
Burgersdorp Golf Club ~ 9 Hole,Andries Venter Street,Burgersdorp,Eastern Cape,9,-30.990071,26.328585,https://www.google.com/maps/search/?api=1&query=-30.990071%2C26.328585
Butterworth Country Club,Stanford Street,Butterworth,Eastern Cape,18,-32.32388,28.144462,https://www.google.com/maps/search/?api=1&query=-32.32388%2C28.144462
Cathcart Country Club,The Kloof House,Cathcart,Eastern Cape,18,-32.291458,27.142646,https://www.google.com/maps/search/?api=1&query=-32.291458%2C27.142646
Cradock Golf Club,1 Hofmeyer Road,Cradock,Eastern Cape,18,-32.149386,25.62207,https://www.google.com/maps/search/?api=1&query=-32.149386%2C25.62207
Dordrecht Country Club,Molteno Road,Dordrecht,Eastern Cape,18,-31.368048,27.03774,https://www.google.com/maps/search/?api=1&query=-31.368048%2C27.03774
Alexander Golf Club,"38 Clovelly Road, Sunny Ridge",East London,Eastern Cape,18,-33.042851,27.856547,https://www.google.com/maps/search/?api=1&query=-33.042851%2C27.856547
East London Golf Club,"22 Gleneagles Road, Bunkers Hill",East London,Eastern Cape,18,-32.995861,27.931761,https://www.google.com/maps/search/?api=1&query=-32.995861%2C27.931761
Fig Tree Golf Course,Oceanway Rd,East London,Eastern Cape,9,-32.94234,27.971881,https://www.google.com/maps/search/?api=1&query=-32.94234%2C27.971881
Gonubie Golf Club,"End Street, Gonubie",East London,Eastern Cape,18,-32.950938,28.006167,https://www.google.com/maps/search/?api=1&query=-32.950938%2C28.006167
Olivewood Golf Estate,Cintsa Mouth West,East London,Eastern Cape,18,-32.839306,28.087281,https://www.google.com/maps/search/?api=1&query=-32.839306%2C28.087281
West Bank Golf Club,Hood Street,East London,Eastern Cape,18,-33.037895,27.902562,https://www.google.com/maps/search/?api=1&query=-33.037895%2C27.902562
Elliot Golf Club,Lloyd Street,Elliot,Eastern Cape,9,-31.326241,27.838411,https://www.google.com/maps/search/?api=1&query=-31.326241%2C27.838411
Fort Beaufort Golf Course,1601 Ralph Street,Fort Beaufort,Eastern Cape,18,-32.762837,26.624062,https://www.google.com/maps/search/?api=1&query=-32.762837%2C26.624062
Graaff Reinet Golf Club,"The Commonage, Aberdeen Road",Graaff-Reinet,Eastern Cape,18,-32.295146,24.54514,https://www.google.com/maps/search/?api=1&query=-32.295146%2C24.54514
Grahamstown Golf Club,Old Cradock Road,Grahamstown,Eastern Cape,18,-33.296374,26.499327,https://www.google.com/maps/search/?api=1&query=-33.296374%2C26.499327
The Belmont Golf Club,Belmont Valley Rd,Grahamstown,Eastern Cape,18,-33.325136,26.611023,https://www.google.com/maps/search/?api=1&query=-33.325136%2C26.611023
Hankey Golf Club,Klein River Road,Hankey,Eastern Cape,18,-33.826903,24.882884,https://www.google.com/maps/search/?api=1&query=-33.826903%2C24.882884
Zwartenbosch Golf & Lifestyle Estate,Zwartenbosch Street,Humansdorp,Eastern Cape,9,-33.990201,24.751416,https://www.google.com/maps/search/?api=1&query=-33.990201%2C24.751416
Indiwe Golf Club,West Street,Indiwe,Eastern Cape,9,-31.472461,27.337203,https://www.google.com/maps/search/?api=1&query=-31.472461%2C27.337203
Jeffreys Bay Golf Club ~ 18 Hole,Disa Avenue,Jeffreys Bay,Eastern Cape,18,-34.039437,24.914593,https://www.google.com/maps/search/?api=1&query=-34.039437%2C24.914593
Jeffreys Bay Golf Club ~ 9 Hole,Disa Avenue,Jeffreys Bay,Eastern Cape,9,-34.039437,24.914593,https://www.google.com/maps/search/?api=1&query=-34.039437%2C24.914593
Jeffreys Bay Golf Club ~ Par 3,Disa Avenue,Jeffreys Bay,Eastern Cape,18,-34.039437,24.914593,https://www.google.com/maps/search/?api=1&query=-34.039437%2C24.914593
Langkloof Golf Club ~ 18,"Die Ark, Hoofpad",Joubertina,Eastern Cape,18,-33.838294,23.837539,https://www.google.com/maps/search/?api=1&query=-33.838294%2C23.837539
Langkloof Golf Club ~ 9,"Die Ark, Hoofpad",Joubertina,Eastern Cape,9,-33.838294,23.837539,https://www.google.com/maps/search/?api=1&query=-33.838294%2C23.837539
Katberg Eco Estate,R351,Katberg,Eastern Cape,18,-32.497466,26.681714,https://www.google.com/maps/search/?api=1&query=-32.497466%2C26.681714
Kei Mouth Country Club,Golf Course Road,Kei Mouth,Eastern Cape,18,-32.696153,28.364207,https://www.google.com/maps/search/?api=1&query=-32.696153%2C28.364207
King William's Town Golf Course,Cnr National Rd and Hargreaves Ave,King Williams Town,Eastern Cape,18,-32.892144,27.409215,https://www.google.com/maps/search/?api=1&query=-32.892144%2C27.409215
Kirkwood Golf Club,Uye Road,Kirkwood,Eastern Cape,18,-33.39282,25.450232,https://www.google.com/maps/search/?api=1&query=-33.39282%2C25.450232
Komga Golf Course,Main Street,Komga,Eastern Cape,18,-32.576695,27.886282,https://www.google.com/maps/search/?api=1&query=-32.576695%2C27.886282
Lady Grey Golf Club,28 Schriener Road,Lady Grey,Eastern Cape,18,-30.707881,27.209702,https://www.google.com/maps/search/?api=1&query=-30.707881%2C27.209702
Maclear Golf Course,Maclear Country Club,Maclear,Eastern Cape,9,-31.066666,28.335634,https://www.google.com/maps/search/?api=1&query=-31.066666%2C28.335634
Matatiele Golf Club,Mount Fletcher Road,Matatiele,Eastern Cape,18,-30.33999,28.798363,https://www.google.com/maps/search/?api=1&query=-30.33999%2C28.798363
Middelburg Golf and Country Club ~ 18 Hole,,Middelburg,Eastern Cape,18,-31.526599,25.031339,https://www.google.com/maps/search/?api=1&query=-31.526599%2C25.031339
Middelburg Golf and Country Club ~ 9 Hole,,Middelburg,Eastern Cape,9,-31.526599,25.031339,https://www.google.com/maps/search/?api=1&query=-31.526599%2C25.031339
Molteno Golf Course,Aichison Street,Molteno,Eastern Cape,18,-31.399119,26.349463,https://www.google.com/maps/search/?api=1&query=-31.399119%2C26.349463
Mthatha Country Club,36 Delville Road,Mthatha,Eastern Cape,18,-31.587689,28.775876,https://www.google.com/maps/search/?api=1&query=-31.587689%2C28.775876
Fynbos Golf and Country Estate,Eersterivierstrand,Oubosrand,Eastern Cape,18,-34.070267,24.233131,https://www.google.com/maps/search/?api=1&query=-34.070267%2C24.233131
Fish River Sun Country Club,R72,Port Alfred,Eastern Cape,18,-33.483611,27.133227,https://www.google.com/maps/search/?api=1&query=-33.483611%2C27.133227
Royal Port Alfred Golf Club,7 St Andrews Road,Port Alfred,Eastern Cape,18,-33.603499,26.884577,https://www.google.com/maps/search/?api=1&query=-33.603499%2C26.884577
Wild Coast Sun Country Club,"Main Bizana Road (R61), Mzamba Beach",Port Edward,Eastern Cape,18,-31.088308,30.184044,https://www.google.com/maps/search/?api=1&query=-31.088308%2C30.184044
Chelsea Mashie Golf Club,"Portion 39 of 25, Chelsea Meadows",Port Elizabeth,Eastern Cape,9,-33.976774,25.466945,https://www.google.com/maps/search/?api=1&query=-33.976774%2C25.466945
