#,Name,Address,City,Province,Holes,Data Source,Latitude,Longitude,Phone,Website,Green Fee (ZAR),Google Maps
1,Aberdeen Golf Club,Hope Street,Aberdeen,Eastern Cape,9,Garmin (SA),-32.477548,24.05347,,https://www.aberdeengolf.com/contact/,,https://www.google.com/maps/search/?api=1&query=-32.477548%2C24.05347
2,Adelaide Golf Course,Winterberg Lane,Adelaide,Eastern Cape,18,Garmin (SA),-32.690839,26.291658,0409554688,,,https://www.google.com/maps/search/?api=1&query=-32.690839%2C26.291658
3,Akasia Country Club,Volksrus Road,Theresapark,Gauteng,18,Garmin (SA),-25.660415,28.142574,012 542 4257,,,https://www.google.com/maps/search/?api=1&query=-25.660415%2C28.142574
4,Albertinia Golf Course,Centre Brak and Golf Street,Albertinia,Western Cape,18,Garmin (SA),-34.201877,21.581805,028 735 1646,,,https://www.google.com/maps/search/?api=1&query=-34.201877%2C21.581805
5,Alexander Bay Golf Club,Alexander Bay,Alexander Bay,Northern Cape,9,Garmin (SA),-28.599746,16.488916,,,,https://www.google.com/maps/search/?api=1&query=-28.599746%2C16.488916
6,Alexander Golf Club,"38 Clovelly Road, Sunny Ridge",East London,Eastern Cape,18,Garmin (SA),-33.042851,27.856547,+27437362313,,,https://www.google.com/maps/search/?api=1&query=-33.042851%2C27.856547
7,Alexandria Golf Club,Martha Oosthuizen Street,Alexandria,Eastern Cape,9,Garmin (SA),-33.651244,26.402112,,,,https://www.google.com/maps/search/?api=1&query=-33.651244%2C26.402112
8,Aliwal North Golf Club,Benson Street,Aliwal North,Eastern Cape,18,Garmin (SA),-30.698311,26.716068,+27516332391,,,https://www.google.com/maps/search/?api=1&query=-30.698311%2C26.716068
9,Amandelbult Golf Club,Thabazimbi Main Road,Amandelbult,Limpopo,18,Garmin (SA),-24.813427,27.29795,014 784 1065,,,https://www.google.com/maps/search/?api=1&query=-24.813427%2C27.29795
10,Amanzimtoti Country Club,1 Golf Course Road,Prospecton,KwaZulu-Natal,18,Garmin (SA),-30.011286,30.931737,031 902 1166,https://amanzimtotigolfclub.co.za/contact/,,https://www.google.com/maps/search/?api=1&query=-30.011286%2C30.931737
11,Amatikulu Country Club,Tongaat Village,Amatikulu,KwaZulu-Natal,18,Garmin (SA),-29.047446,31.53033,,,,https://www.google.com/maps/search/?api=1&query=-29.047446%2C31.53033
12,Amersfoort Golf Club,South Street,Amersfoort,Mpumalanga,9,Garmin (SA),-27.01699,29.864745,,,,https://www.google.com/maps/search/?api=1&query=-27.01699%2C29.864745
13,Amorello Bush Golf Lodge,R22 Sodwana Rd,Hluluwe,KwaZulu-Natal,9,Garmin (SA),-27.898076,32.360083,035 562 3182,https://amorello.co.za/,,https://www.google.com/maps/search/?api=1&query=-27.898076%2C32.360083
14,Amphitheatre Golf Course,Pvt Bag X1621,Bergville,KwaZulu-Natal,9,Garmin (SA),-28.658199,29.033831,,,,https://www.google.com/maps/search/?api=1&query=-28.658199%2C29.033831
15,Arabella Golf Club,R44 Road,Kleinmond,Western Cape,18,Garmin (SA),-34.317351,19.135054,+27 28 284 0000,,,https://www.google.com/maps/search/?api=1&query=-34.317351%2C19.135054
16,Arnot Golf Club,"N4 to Nelspruit, Arnot Power Station",Rietkuil,Mpumalanga,9,Garmin (SA),-25.940137,29.81226,,,,https://www.google.com/maps/search/?api=1&query=-25.940137%2C29.81226
17,Arrow Rest Mashie Course,R512,Hartbeespoort,North West,18,Garmin (SA),-25.77723,27.828229,,https://arrowrest.co.za/,,https://www.google.com/maps/search/?api=1&query=-25.77723%2C27.828229
18,Atlantic Beach Golf Club,"1 Fairway Drive, Atlantic Beach Golf Estate",Melkbosstrand,Western Cape,18,Garmin (SA),-33.73921,18.453249,+27 21 553 2223,https://golf.atlanticbeachestate.co.za/members/contacts/,,https://www.google.com/maps/search/?api=1&query=-33.73921%2C18.453249
19,Augusta Country Estate,88 ashley drive,Hillcrest,KwaZulu-Natal,18,Garmin (SA),-29.790974,30.785944,031 7671607,https://www.augusta.co.za/,,https://www.google.com/maps/search/?api=1&query=-29.790974%2C30.785944
20,Avion Park Golf Club,123 Highveld Road,Kempton Park,Gauteng,18,Garmin (SA),-26.100742,28.249031,,,,https://www.google.com/maps/search/?api=1&query=-26.100742%2C28.249031
21,Badplaas Golf Course,Carolina Main Road,Badplaas,Mpumalanga,18,Garmin (SA),-25.936317,30.520771,,,,https://www.google.com/maps/search/?api=1&query=-25.936317%2C30.520771
